epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5042.89,2.43199,2.6873,0.00495,0.37982,0.20534,0.185,0.09681,2.20435,1.7792,0.00535,0.000237916,0.000237916,0.000237916
2,9423.14,2.35254,1.81704,0.00457,0.54727,0.24314,0.23267,0.12139,2.18095,1.59458,0.00521,0.0004288,0.0004288,0.0004288
3,13958.3,2.33422,1.69227,0.00448,0.42308,0.26854,0.26225,0.13542,2.15901,1.49856,0.00514,0.00057256,0.00057256,0.00057256
4,18261.1,2.31318,1.63171,0.00441,0.41809,0.28484,0.27721,0.14307,2.13048,1.45325,0.0051,0.000501942,0.000501942,0.000501942
5,23106.7,2.28996,1.58966,0.00432,0.45347,0.28954,0.29384,0.15178,2.11365,1.42884,0.00496,0.000431256,0.000431256,0.000431256
6,27927.6,2.27516,1.55865,0.00426,0.45714,0.29969,0.3052,0.15758,2.09802,1.39843,0.0049,0.00036057,0.00036057,0.00036057
7,32463.5,2.24411,1.51943,0.00413,0.44949,0.30955,0.31293,0.16418,2.08905,1.38317,0.00484,0.000289884,0.000289884,0.000289884
8,37837.2,2.24087,1.51265,0.00413,0.43003,0.3213,0.32103,0.16788,2.07834,1.37416,0.00478,0.000219198,0.000219198,0.000219198
9,43506.3,2.22633,1.49074,0.00405,0.45393,0.3182,0.32681,0.17235,2.07005,1.35912,0.00474,0.000148512,0.000148512,0.000148512
10,48640.9,2.2131,1.47516,0.004,0.45435,0.32525,0.33216,0.17533,2.06377,1.35226,0.00472,7.7826e-05,7.7826e-05,7.7826e-05
